id,SMILES,InChIKey,pSat_Pa,ChemPot_kJmol,FreeEnergy_kJmol,HeatOfVap_kJmol,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,parentspecies,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester
100809,C12OOC(C1(O)C)C(OO)C(O)C2(ON(=O)(=O)),TXLAJLFBOQXVTN-UHFFFAOYSA-N,9.84833899e-06,4.26973016,-2639634.63436128,127.66568072,253.043380932,28,7,9,1,3,68.0,11.0,toluene,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0
11712,C(=O)(O)C(O)C(O)C(OO)C(=O),QXQIFULVHGTXBH-UHFFFAOYSA-N,2.87313842e-06,5.47468032,-1896203.21120224,129.07083528,180.027002596,20,5,7,0,4,386.0,21.0,toluene,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0
32538,C(=O)(OO)C(ON(=O)(=O))C(OO)C1(C)OC1(O)C(=O)(OON(=O)(=O)),YVVINRLCMZARIG-UHFFFAOYSA-N,0.000146130051,16.510064,-3963844.52657784,118.47489712,359.9924675559999,32,7,15,2,3,281.0,28.0,toluene,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0
152549,CC(OO)(C)C(ON(=O)(=O))(C(=O)(OO))C(=O)C(O),UWLIEVAXQQOHNO-UHFFFAOYSA-N,9.7358594e-06,10.09707984,-2837242.50822752,124.45525568000002,269.038295552,29,7,10,1,3,327.0,13.0,apin,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
146216,CC(ON(=O)(=O))C1OOC(ON(=O)(=O))(C1(=O))C(=O)(O),ZSDGMDQNNAXLCT-UHFFFAOYSA-N,0.0148304021,14.13317544,-3070631.38249232,96.15288056,281.997159012,25,6,11,2,1,46.0,18.0,toluene,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0
19385,C(=O)(O)C1(N(=O)(=O))OOC(OO)(C1(O)(O))C(ON(=O)(=O))C(=O),QQPNEKKTTRUAHI-UHFFFAOYSA-N,1.0548372800000002e-05,10.03808544,-3663286.015218,125.82718928,329.981902872,28,6,14,2,4,212.0,8.0,toluene,0,0,2,1,0,1,0,0,1,1,0,0,1,1,0,0
133944,CC(O)(C(=O)(O))OOC(=O)C(O)C(=O),FIOPWOLSPPOAFU-UHFFFAOYSA-N,0.000298704988,10.54916104,-2193952.9031971204,114.23981048,208.021917216,22,6,8,0,3,160.0,14.0,toluene,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0
38692,C(=O)(OON(=O)(=O))C(=O)OC(OO)(C)C(O)C(O)C(=O),OSEVJVGNNARHNX-UHFFFAOYSA-N,0.00341172212,12.14707248,-3229316.85947248,110.88420064,299.012474728,29,7,12,1,3,284.0,11.0,toluene,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0
15719,C(=O)(O)C(ON(=O)(=O))CC(=O)C(OO)(C)C(=O)(OO),IHLXBZQSJQHBAB-UHFFFAOYSA-N,2.1824009e-05,9.7305196,-3031800.471444,123.21892552,283.017560108,28,7,11,1,3,508.0,30.0,apin,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
38515,C(=O)(OON(=O)(=O))C(=O)OC(=O)C(O)(C)C(=O)C(=O),KLTZWGHSDCMFRS-UHFFFAOYSA-N,4.92,16.60177728,-3025568.0766736004,72.88268592,278.98625998,24,7,11,1,1,50.0,21.0,toluene,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0
68323,C(ON(=O)(=O))C1(O)OOC(O)(C1(O)(O))C(=O),MYZFUKWFVFPJGD-UHFFFAOYSA-N,4.37957596e-06,28.095685520000004,-2631215.05400928,127.41087512,241.006995424,23,5,10,1,4,107.0,2.0,toluene,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0
120328,CC(=O)C(OO)(C1(C)C(ON(=O)(=O)))CC1(ON(=O)(=O))C(=O),DEAQKTNUPAVYJE-UHFFFAOYSA-N,0.000857287874,7.8822376,-3182716.0962858405,101.487104,308.049194584,33,9,10,2,1,57.0,40.0,apin,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0
64416,C(ON(=O)(=O))C(=O)C1(N(=O)(=O))OC1(OO)C(OO),MXXCQBFEFXNXFR-UHFFFAOYSA-N,0.00369745951,17.22703424,-2970223.80153712,101.11907936,269.997159012,24,5,11,2,2,262.0,40.0,toluene,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0
26333,C(=O)(OO)C(=O)C(=O)C(O)C(ON(=O)(=O))(C(=O))C(=O),NDGKRQBFEWOTDB-UHFFFAOYSA-N,0.0001994286769999,15.65410128,-3025469.5066544004,112.139568,278.98625998,24,7,11,1,2,264.0,40.0,toluene,0,0,1,2,2,0,0,0,1,0,0,0,0,0,1,0
29347,C(=O)(OO)C(N(=O)(=O))C(=O)C1(C)OC1(OO)C(=O),XUQLORDXPNZQPD-UHFFFAOYSA-N,8.11952444e-05,21.54998488,-2830891.2099510403,111.884344,265.006995424,25,7,10,1,2,74.0,25.0,toluene,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
124565,CC(=O)C1CC(OO)(C1(OO)C)CC(=O),RLXZEEXZZNLSFV-UHFFFAOYSA-N,5.80035254e-06,4.453198560000001,-2108174.6687024003,124.14480288,218.079038168,29,9,6,0,2,90.0,40.0,apin,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0
127603,CC(=O)CC(ON(=O)(=O))CCC(=O)CC(ON(=O)(=O)),WATOGXHYIVDXMQ-UHFFFAOYSA-N,0.000258026365,12.26886872,-2791018.47553888,108.72759968,278.075015408,33,9,8,2,0,54.0,40.0,decane,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
110630,CC(=O)C(C(=O)C)C(ON(=O)(=O))C(ON(=O)(=O))CC(=O)(O),QCTBASJYPSTFMO-UHFFFAOYSA-N,7.572891009999999e-05,14.195893600000002,-3183124.73262896,117.08518152,308.049194584,33,9,10,2,1,307.0,40.0,apin,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0
133759,CC(O)(C(=O)(O))C(OO)(C(=O)(OON(=O)(=O)))OOC(=O),PDHNZPJKXIUPHC-UHFFFAOYSA-N,4.53412912e-05,11.551689280000002,-3323529.66860368,123.70669624,300.991739284,27,6,13,1,3,526.0,30.0,toluene,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0
164881,CCC(=O)CC(ON(=O)(=O))C(=O)CCC(OO)C,WODYDXNCFMLAQD-UHFFFAOYSA-N,0.000223113745,7.60613544,-2554486.15839216,111.7837188,263.10050188400004,35,10,7,1,1,173.0,40.0,decane,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
39315,C(=O)(OON(=O)(=O))C(N(=O)(=O))=CC(C(=O)(O))OOC(=O),CYZYIOUZUKVCDO-UHFFFAOYSA-N,0.000307736712,12.60065992,-3264953.60249648,111.74413816000002,295.976423568,24,6,12,2,1,135.0,40.0,toluene,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
63857,C(ON(=O)(=O))C(=O)C(ON(=O)(=O))C(OO)(C1(O))OOC1C(=O)(OO),QWRAFRSZOLNDJE-UHFFFAOYSA-N,1.70453915e-05,18.31023,-3963857.74103056,126.56993296000002,359.9924675559999,32,7,15,2,3,746.0,40.0,toluene,0,0,1,0,1,0,0,0,2,0,0,0,1,1,1,0
41693,C(=O)(OON(=O)(=O))C(ON(=O)(=O))C(=O)OOC(C(=O)(OO))(C(O))C(=O),PWVAWENOYKSZCL-UHFFFAOYSA-N,0.0001806331469999,16.40341384,-4158322.33732472,117.61562904,373.9717321119999,31,7,16,2,2,711.0,40.0,toluene,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0
101261,C12OOC(O)(C1(=O))C(ON(=O)(=O))(OO)C(ON(=O)(=O))C2(OO),QNOQTSSHACELOU-UHFFFAOYSA-N,0.000300867593,16.11936208,-3662874.35242032,115.91341048,329.9819028719999,28,6,14,2,3,67.0,4.0,toluene,0,0,1,0,1,0,0,0,2,0,0,0,1,2,0,0
48360,C(=O)C(=O)C1(O)OC1(C(=O)(OO))C(O),VFEZDAYZFGYVNF-UHFFFAOYSA-N,7.1466766e-06,13.15964232,-2190595.91531488,126.68327752,206.006267152,20,6,8,0,3,121.0,4.0,toluene,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0
93108,C1(O)C(ON(=O)(=O))OOC1C(=O)(OON(=O)(=O)),KDVCDPCZTWPTME-UHFFFAOYSA-N,0.7765879870000001,15.37168128,-2867046.3957204,80.55195791999999,255.98150894800003,21,4,11,2,1,17.0,14.0,toluene,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
34395,C(=O)(OO)C1(O)OC1(ON(=O)(=O))C(C(OO))C(=O),ZKMJVDZRAJJODI-UHFFFAOYSA-N,4.919225679999999e-05,9.04417624,-2928341.61208944,120.56225288000002,269.001910044,25,6,11,1,3,276.0,40.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0
7266,C(=O)(O)C(=O)OOC(O)C(=O)C(ON(=O)(=O)),LQYUTXLFOLUCLJ-UHFFFAOYSA-N,0.000571609114,17.15239168,-2627840.8690920803,111.59259368,238.99134536,21,5,10,1,2,112.0,34.0,toluene,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0
11966,C(=O)(O)C(O)C(ON(=O)(=O))(C)C1OC1(ON(=O)(=O))C(=O)(OO),ZIBKWIPOQLIDNJ-UHFFFAOYSA-N,2.28735085e-06,11.23768008,-3569078.1520768804,135.3779224,328.0026383159999,30,7,13,2,3,258.0,17.0,toluene,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0
150752,CC(OO)(C(ON(=O)(=O)))C(OO)(C(O)(C)C(=O))CC(=O),HQIVCGQRTBKMIV-UHFFFAOYSA-N,7.283065970000001e-09,2.3260111200000004,-3043703.02372568,143.28894592,297.06959568,35,9,10,1,3,759.0,40.0,apin,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0
60927,C(O)C1(C(=O))OOC(O)(C1(O))C(OO)C(=O),MPEFGTHPXNXZNA-UHFFFAOYSA-N,7.29510782e-10,0.40932072,-2494457.46246272,161.83427488,238.0324819,26,7,9,0,4,392.0,11.0,toluene,0,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0
144501,CC(ON(=O)(=O))(C)OOC(C(OO)(C)C(=O))CC(=O),IPEPKBHGKFZWBV-UHFFFAOYSA-N,0.00038220698,10.4231808,-2846132.34963608,108.82299488,281.07468106000005,34,9,9,1,1,262.0,40.0,apin,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0
37042,C(=O)(OO)CC(OO)C(C)(C)C(C(=O)(OON(=O)(=O)))C(=O)C,YPSJUBDLBKUBIO-UHFFFAOYSA-N,0.00189095861,9.79541344,-3341388.62696584,113.15950168,325.0645103,37,10,11,1,2,234.0,13.0,apin,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
112137,CC(=O)C(C)(C(O))C(ON(=O)(=O))C(=O)(O),DRJWGGJIYRYMMV-UHFFFAOYSA-N,0.000162397664,5.22008392,-2244955.9896376003,111.37151112,221.053551692,26,7,7,1,2,143.0,40.0,apin,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
84329,C1(=O)OC1C(O)C(=O)C(ON(=O)(=O))(OO)C(=O)C(ON(=O)(=O)),SLDBECCKLXEOLA-UHFFFAOYSA-N,0.0083669177,18.64336008,-3565766.6208024,103.3205328,325.986988252,28,7,13,2,2,511.0,40.0,toluene,0,0,1,0,2,0,1,0,2,0,0,0,0,1,0,0
191,C(=O)(N(=O)(=O))C(=O)OC(=O)C,HLFCIINJMWCZOL-UHFFFAOYSA-N,49.626000000000005,18.16855976,-1734405.52862392,56.60943631999999,160.996036816,14,4,6,1,0,4.0,4.0,toluene,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
3778,C(=O)(O)C(=O)C(N(=O)(=O))C(=O)OC(OO)C(=O)(O),PQGMBCKVMNOHHZ-UHFFFAOYSA-N,8.40440744e-06,18.69858888,-2925676.11108392,123.77836816,266.98625998,23,6,11,1,3,494.0,40.0,toluene,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1
40533,C(=O)(OON(=O)(=O))C(O)C(N(=O)(=O))(C1(O)(O))OOC1C(=O),UXDMZRFZEZJDGJ-UHFFFAOYSA-N,0.000301470626,11.29688368,-3465678.67899576,115.75973216,313.98698825199995,27,6,13,2,3,180.0,15.0,toluene,0,0,3,1,0,0,0,0,0,1,0,1,1,0,0,0
151523,CC(OO)(C)C(C(=O)(OON(=O)(=O)))CC(=O)C(O),WTSXENCZJTUYGE-UHFFFAOYSA-N,3.70833652e-05,8.142649760000001,-2742989.58353192,122.82910224,267.05903099600005,31,8,9,1,2,246.0,40.0,apin,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
21281,C(=O)(O)C1OC1(C(OO))C(ON(=O)(=O))C(O)(OO)C(=O),GSOSMIUSJWYGMG-UHFFFAOYSA-N,9.84910864e-09,14.359571679999998,-3229226.69611344,149.33357072,299.012474728,29,7,12,1,4,591.0,40.0,toluene,0,0,1,1,0,1,0,1,1,0,0,0,0,2,0,0
7524,C(=O)(O)C(C(=O)(O))=CC1OC1(O)C(=O),DRMWRTCEHYJJGZ-UHFFFAOYSA-N,3.17830499e-07,3.544977680000001,-2093408.05181264,136.54914952,202.011352532,20,7,7,0,3,69.0,12.0,toluene,1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0
108448,CC(=O)C(=O)CC(C(OO)(C)C)C(O)C(=O)(OON(=O)(=O)),UQEOGAUAEYWPRQ-UHFFFAOYSA-N,0.000356330986,6.693563200000001,-3143945.74344936,111.0845724,309.06959568,36,10,10,1,2,431.0,40.0,apin,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0
60,C(=O)(N(=O)(=O))C(=O)C(C)(C(=O))OOC(=O)C(=O),PXMJHMBYYPDMNL-UHFFFAOYSA-N,0.0918391928,21.336056960000004,-2630320.26594496,86.42583368000001,246.99643074,22,7,9,1,0,18.0,18.0,toluene,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0
153967,CC(OO)C(=O)C(ON(=O)(=O))CC(=O)CC(=O)(OO),CLTBAMKRXMNQSJ-UHFFFAOYSA-N,1.22200626e-05,15.93367616,-2937402.91185152,123.90464128,281.038295552,30,8,10,1,2,372.0,37.0,decane,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0
71925,C(OO)C(=O)C1OOC(C1(=O))C(ON(=O)(=O))C(=O)(OO),XOPVTRUBJUYBQT-UHFFFAOYSA-N,0.0002783180889999,18.5165012,-3225882.3418610403,113.00013312,296.996824664,27,7,12,1,2,171.0,40.0,toluene,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0
67071,C(ON(=O)(=O))C(OO)(C(=O))C(OO)(C(=O))C(=O)C,GVWLMEVBVYVNSR-UHFFFAOYSA-N,0.00012529592,15.96304784,-2833978.7674378403,117.84102112,267.0226454880001,27,7,10,1,2,394.0,40.0,apin,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0
97454,C1(OO)OC1(C(OO))C(O)C(=O)(OON(=O)(=O)),XVNUBQBNHWPAED-UHFFFAOYSA-N,0.00380762726,14.08966184,-2828042.52070616,104.66644192,257.001910044,24,5,11,1,3,325.0,39.0,toluene,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0
65489,C(ON(=O)(=O))C(=O)OOC(ON(=O)(=O))(C(=O))C(=O)C(=O),AOVGPNBLFZXZTF-UHFFFAOYSA-N,0.33609419,18.41909768,-3264931.7880828,82.83889048,295.976423568,24,6,12,2,0,56.0,4.0,toluene,0,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0
53844,C(O)(N(=O)(=O))C(C(=O)(O))OOC(=O)C(=O),NCVYZVDSAKUHCF-UHFFFAOYSA-N,3.7012729700000006e-05,15.4653192,-2430294.3371427204,119.40671576,222.99643074,20,5,9,1,2,107.0,23.0,toluene,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0
104597,C2(O)C(ON(=O)(=O))C(=O)C(O)(C1(O))OOC12C(O),ZORIJGKPBWKURQ-UHFFFAOYSA-N,1.92789632e-06,5.63576432,-2834305.47055912,136.49559432,267.022645488,27,7,10,1,4,83.0,18.0,toluene,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0
20466,C(=O)(O)C1(OO)OC1(C(=O)(OON(=O)(=O)))C(O)C(ON(=O)(=O))C(=O),PDSFYNLLHPOHRV-UHFFFAOYSA-N,2.82236449e-06,14.6935804,-3960871.94114336,131.16655903999998,357.9768174919999,30,7,15,2,3,518.0,40.0,toluene,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0
164859,CCC(=O)CC(ON(=O)(=O))C(O)CC(=O)(OO),UOGKZNXSDJJDQY-UHFFFAOYSA-N,8.14438828e-05,8.173569520000001,-2545607.1700704,111.82564248,251.064116376,30,8,8,1,2,209.0,3.0,decane,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
138505,CC(ON(=O)(=O))(C(=O)(O))C(C)(C)C(=O)C(=O)C(OO),DXXLNARYSHCDDY-UHFFFAOYSA-N,2.29221467e-06,10.22456632,-2843261.54364168,130.23817128000002,279.05903099600005,32,9,9,1,2,425.0,40.0,apin,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0
144171,CC(ON(=O)(=O))(C)C(OO)CC(=O)C(=O),GCYFQDTWUQJCTQ-UHFFFAOYSA-N,0.0170085379,10.04519824,-2244612.77352352,94.3494092,221.053551692,26,7,7,1,1,84.0,40.0,apin,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
120356,CC(=O)C(OO)(C1(C)C(OO))CC1CC(=O)(OON(=O)(=O)),MIOKVCVCTAAGEV-UHFFFAOYSA-N,1.00781498e-05,4.35039768,-3143674.8849710403,129.57475624,309.06959568,36,10,10,1,2,150.0,40.0,apin,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0
4114,C(=O)(O)C(=O)C(O)(O)C1OC1C(=O)C(=O)(OO),FMQWEHKRLULJGF-UHFFFAOYSA-N,4.85935447e-08,17.015407520000004,-2685957.37309096,128.87230448,249.996096392,23,7,10,0,4,184.0,1.0,toluene,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,0
55375,C(O)C(=O)C(O)C1OC1(OO)C(=O),UXEMUJJMDUSXPE-UHFFFAOYSA-N,1.69184251e-08,6.917783760000001,-1996122.55981672,150.29015864,192.027002596,21,6,7,0,3,165.0,3.0,toluene,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0
148143,CC(OO)(C(=O)(O))C(C(=O))OOC(=O)C(=O)(O),OKTTWRYJWUULAJ-UHFFFAOYSA-N,1.37260324e-08,8.38080304,-2689060.10046472,151.92137472,252.01174645600005,25,7,10,0,3,513.0,40.0,toluene,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0
32928,C(=O)(OO)C(OO)(C(=O))OC(=O)C(=O)CC(=O),IOHKVWSFKQMZTL-UHFFFAOYSA-N,3.917348079999999e-05,13.21064528,-2685750.3993136804,114.27729912,249.996096392,23,7,10,0,2,293.0,40.0,toluene,0,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0
128128,CC(=O)CCC(=O)C(O),YXADPHVQSSNJLB-UHFFFAOYSA-N,0.0203088913,15.08294344,-1209234.60993224,80.9497308,130.06299418,19,6,3,0,1,15.0,9.0,apin,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
35485,C(=O)(OO)C1OC1C(C(=O)(O))=CC(=O)(OO),FFETWCKVYSEWSP-UHFFFAOYSA-N,3.13482659e-07,10.6386568,-2488192.03706248,138.26036368,234.001181772,22,7,9,0,3,48.0,2.0,toluene,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0
57803,C(O)C(=O)OOC(ON(=O)(=O))C(OO)C(=O),LTWDIXAJZWDHLF-UHFFFAOYSA-N,0.0064103261299999,16.30061296,-2630699.5411936003,99.77404888,241.006995424,23,5,10,1,2,248.0,40.0,toluene,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0
112357,CC(=O)C(C)(C)C(ON(=O)(=O))(C(=O)(OO))C(=O)C(OO),XIKHORRGFMNMFC-UHFFFAOYSA-N,0.000491137349,8.7294976,-3040620.8647704003,108.94621368,295.053945616,33,9,10,1,2,324.0,40.0,apin,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0
52096,C(=O)C1(OO)OC1(C(O))C(ON(=O)(=O))C(=O),VUIWXCPMENZJJX-UHFFFAOYSA-N,0.00130282292,11.00107488,-2533270.05616824,104.10528384,237.012080804,23,6,9,1,2,151.0,40.0,toluene,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0
99430,C12(O)OOC(OO)(C1(=O))C(=O)C(ON(=O)(=O))C2(=O),CZUFQPHHHJZKGE-UHFFFAOYSA-N,0.0562426341,19.30953656,-2921960.5755727203,88.01985400000001,264.970609916,21,6,11,1,2,17.0,14.0,toluene,0,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0
157002,CC1(C(=O)(OON(=O)(=O)))OOC(N(=O)(=O))(C1(O)(O))C(=O),DTKDMHPXQFVPBH-UHFFFAOYSA-N,0.0162866658,12.15862032,-3268082.4565235204,84.66888840000001,297.992073632,26,6,12,2,2,39.0,9.0,toluene,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0
88269,C1(O)(O)C(ON(=O)(=O))OOC1(O)C(=O)(OO),JFFWEVYOBYNHRL-UHFFFAOYSA-N,0.0128459598,18.984816320000004,-2725118.54156856,97.5250652,242.98625998,21,4,11,1,4,38.0,6.0,toluene,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0
105208,C2(OO)C=CC(C1(O)C(OO))OOC12,CJCCZRBXEUNVDB-UHFFFAOYSA-N,3.699039e-06,6.338718160000001,-2099006.09720528,127.46593656000002,206.04265266,24,7,7,0,3,59.0,40.0,toluene,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
65130,C(ON(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))C(=O)(OO),IIFVJJGQYXFQJS-UHFFFAOYSA-N,0.000216267474,17.362344800000002,-3465898.51585344,117.09923976,313.98698825199995,27,6,13,2,2,324.0,40.0,toluene,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0
112401,CC(=O)C(C)(C)C(OO)(C(=O)(O))C(=O)(O),QNCPYNRVVNLMRU-UHFFFAOYSA-N,5.1951119e-07,3.1133144,-2202926.9979810403,134.37840664,220.058302724,27,8,7,0,3,179.0,10.0,apin,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
35610,C(=O)(OO)C1OC1C(ON(=O)(=O))(C(=O))C(O)C(=O)(OO),YXORDTWJEUDKCZ-UHFFFAOYSA-N,2.2889359e-05,12.84462896,-3226053.3028206406,118.78426208,296.996824664,27,7,12,1,3,172.0,11.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0
28731,C(=O)(OO)C(C(=O)(OON(=O)(=O)))OOC(=O),KXNDZLSRYRGDAH-UHFFFAOYSA-N,0.1365875819999999,16.538640720000004,-2721738.66323152,83.1291764,240.970609916,19,4,11,1,1,42.0,21.0,toluene,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
73549,C(OO)C(ON(=O)(=O))(C(=O))OOC(=O)C(O)C(=O),PIQVFAJPKQLMIT-UHFFFAOYSA-N,0.00106350938,18.11387488,-2928358.4788394403,106.16992048000002,269.00191004400006,25,6,11,1,2,392.0,15.0,toluene,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0
123883,CC(=O)C1C(=O)C(C)C1(C)C(=O)(OON(=O)(=O)),DIBPFUQLBRDOEB-UHFFFAOYSA-N,0.7251672940000001,14.61768264,-2444876.58586328,76.08696048,245.053551692,28,9,7,1,0,3.0,3.0,apin,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
49998,C(=O)C(O)C(ON(=O)(=O))C(=O)OOC(ON(=O)(=O))C(=O),COTLGAFGXBUCJV-UHFFFAOYSA-N,0.00160366179,15.79309376,-3268153.09390768,106.2959844,297.992073632,26,6,12,2,1,204.0,40.0,toluene,0,0,1,2,1,0,0,0,2,0,0,0,1,0,0,0
89970,C1(O)(OO)C(OO)OOC1(C)C(=O)(O),NGHPGGYFEZHMDH-UHFFFAOYSA-N,8.44857605e-06,7.53563504,-2291006.7799151205,124.30927592,212.016831836,22,5,9,0,4,138.0,21.0,toluene,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0
118776,CC(=O)C(ON(=O)(=O))CC(=O)CC(OO)C(ON(=O)(=O))(C)C,JOFCANCDLAPKKL-UHFFFAOYSA-N,3.73743833e-05,11.7693828,-3289256.95840696,119.43801208,324.080494712,38,10,10,2,1,334.0,40.0,apin,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0
7088,C(=O)(O)C(=O)OOC(C(=O)C)C(ON(=O)(=O))C(=O),OJPFPLKOJBVLKI-UHFFFAOYSA-N,0.00010578325,16.425923760000003,-2831172.0402820804,115.19133576000002,265.006995424,25,7,10,1,1,109.0,40.0,toluene,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0
