"parentspecies","pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","C.C..non.aromatic.","C.C.C.O.in.non.aromatic.ring","hydroxyl..alkyl.","aldehyde","ketone","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","aromatic.hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester"
"toluene",5.442,281.997159012,25,6,11,2,0,8,8,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
"toluene",1.19,225.012080804,22,5,9,1,2,34,24,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
"toluene",0.372728135,148.000787848,14,4,6,0,1,9,4,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
"toluene",0.850544816,311.971338188,25,6,13,2,1,46,40,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0
"toluene",0.00279928718,237.012080804,23,6,9,1,2,63,25,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
"toluene",0.0002395724779999,357.976817492,30,7,15,2,2,341,40,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0
"apin",0.000232740145,253.043380932,28,7,9,1,3,197,27,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
"toluene",0.000287713089,325.986988252,28,7,13,2,2,113,16,0,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0
"toluene",0.0484522733,262.99134536,23,7,10,1,1,122,35,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0,0
"toluene",0.000155267849,298.97608922,25,6,13,1,2,197,40,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0
"toluene",0.00285727855,237.996096392,22,6,10,0,3,93,18,0,0,1,0,3,0,0,0,0,0,0,0,1,2,0,0
"toluene",5.50294922e-06,237.012080804,23,6,9,1,3,167,3,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0
"apin",0.00131512338,194.04265266,23,6,7,0,3,175,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"decane",0.00484414282,228.022979836,23,4,9,2,2,308,40,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
"decane",1.33249401e-06,312.11688022,41,10,9,2,2,417,40,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0
"apin",0.000261720621,338.059759268,37,10,11,2,1,213,40,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0
"apin",1.57625538e-06,263.064116376,31,9,8,1,2,415,40,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0
"toluene",0.00190143155,313.986988252,27,6,13,2,2,198,40,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0
"toluene",8.36277789e-10,252.011746456,25,7,10,0,4,289,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0
"toluene",2.63541026e-07,253.006995424,24,6,10,1,4,445,5,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0
"toluene",1.52637844e-07,210.001181772,20,5,9,0,4,354,21,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0
"toluene",2.82543948e-06,341.981902872,29,7,14,2,3,336,15,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0
"toluene",2.55508055e-05,297.992073632,26,6,12,2,3,371,9,0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,0
"toluene",0.376405387,191.0066015,18,5,7,1,0,16,16,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
"apin",0.00625315079,230.079038168,30,10,6,0,1,128,40,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0
"decane",1.02696744e-07,234.110338296,34,10,6,0,2,227,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"toluene",0.000749245846,266.98625998,23,6,11,1,2,73,29,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0
"toluene",0.197958977,309.992073632,27,7,12,2,1,141,40,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0
"toluene",0.000701814274,357.976817492,30,7,15,2,2,282,30,0,0,1,2,0,0,0,0,1,0,0,1,1,1,0,0
"toluene",0.000691445433,300.007723696,28,6,12,2,2,203,40,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0
"apin",0.0952628803,282.03354452,29,7,10,2,1,104,40,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"toluene",0.00110952858,207.985531708,18,5,9,0,3,78,24,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"toluene",0.0164951902999999,327.966252808,26,6,14,2,2,91,7,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0
"toluene",0.0114271449,293.997159012,26,7,11,2,1,44,34,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
"toluene",0.000923364707,281.001910044,26,7,11,1,1,190,1,0,0,0,3,1,0,0,0,1,0,0,0,1,1,0,0
"apin",6.34134199e-05,368.033938444,37,10,13,2,1,101,20,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0
"apin",0.0205800861,279.059030996,32,9,9,1,1,97,40,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
"toluene",1.12902756e-05,313.986988252,27,6,13,2,3,491,40,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0
"toluene",0.00246999059,345.976817492,29,6,15,2,2,532,40,0,0,0,1,1,0,0,0,2,0,0,0,1,1,1,0
"toluene",0.00387790956,222.99643074,20,5,9,1,2,51,25,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"toluene",0.0200504016,222.99643074,20,5,9,1,1,65,31,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
"toluene",7.65234511e-08,284.996824664,26,6,12,1,4,485,6,0,0,1,1,0,1,0,1,1,0,0,0,0,2,0,0
"toluene",6.86618863e-09,252.011746456,25,7,10,0,4,186,2,0,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0
"toluene",0.00202148664,209.017166184,21,5,8,1,2,126,40,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0
"toluene",9.498,171.01677226,17,6,5,1,0,3,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"decane",0.0419337575999999,226.04371528,25,5,8,2,1,115,40,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"decane",0.000112423984,280.054279964,31,8,9,2,1,294,40,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0
"toluene",0.00172514181,357.976817492,30,7,15,2,1,547,40,0,0,0,2,1,0,0,0,1,0,0,1,1,1,0,0
"toluene",5.4546797e-06,222.001181772,21,6,9,0,3,227,40,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0
"apin",0.000368779769,324.044109204,34,9,11,2,1,193,40,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0
"toluene",0.00637885696,172.000787848,16,6,6,0,1,7,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"toluene",0.0006744461349999,341.981902872,29,7,14,2,2,494,40,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0
"toluene",1.3261781e-07,254.02739652,27,7,10,0,4,819,40,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0
"toluene",0.000680855541,266.98625998,23,6,11,1,2,396,40,0,0,0,3,0,1,0,0,0,1,0,0,1,1,0,0
"toluene",0.696247962,341.981902872,29,7,14,2,2,254,40,0,0,1,0,2,0,0,1,1,0,0,1,0,1,0,0
"toluene",3.48900325e-09,171.01677226,17,6,5,1,3,4,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
"toluene",4.56858512e-07,250.99134536,22,6,10,1,3,67,4,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
"toluene",7.18636576e-08,220.021917216,23,7,8,0,3,240,3,0,0,2,1,2,0,0,1,0,0,0,0,0,1,0,0
"apin",5.41604048e-05,225.048466312,26,6,8,1,3,249,10,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"apin",0.00422683785,188.068473484,25,8,5,0,1,25,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"toluene",0.00111397623,249.012080804,24,7,9,1,1,44,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"apin",2.47966997e-05,312.044109204,33,8,11,2,2,57,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
"toluene",0.00028218861,345.976817492,29,6,15,2,2,522,40,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
"toluene",8.12439796e-10,283.017560108,28,7,11,1,5,526,8,0,0,3,0,0,1,0,1,0,1,0,0,0,1,0,0
"toluene",0.0038453397799999,309.992073632,27,7,12,2,2,438,5,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0
"toluene",8.91358708e-08,249.012080804,24,7,9,1,3,79,14,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0
"toluene",0.00840952836,282.9811746,24,6,12,1,2,82,8,0,0,0,2,1,0,0,0,1,0,0,0,1,2,0,0
"toluene",0.404380022,264.970609916,21,6,11,1,1,24,21,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0
"toluene",1.58148909e-07,359.992467556,32,7,15,2,4,1069,40,0,0,2,1,1,0,0,0,2,0,0,0,0,1,1,0
"toluene",1.7041717e-07,236.016831836,24,7,9,0,3,328,35,0,0,2,1,2,0,0,0,0,0,0,0,1,1,0,0
"toluene",1.09493988e-06,255.022645488,26,6,10,1,3,203,19,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
"toluene",7.45548223e-05,222.001181772,21,6,9,0,3,169,34,0,0,2,1,2,0,0,0,0,0,0,0,1,1,0,0
"toluene",0.00857132147,234.99643074,21,6,9,1,1,9,6,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0
"toluene",0.771221543,142.026608672,16,6,4,0,1,6,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"apin",0.0001181911499999,283.017560108,28,7,11,1,3,561,40,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"toluene",1.26730351e-05,222.001181772,21,6,9,0,3,178,30,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0
"apin",3.32004956e-05,368.033938444,37,10,13,2,2,457,40,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0
"toluene",1.7673116e-09,236.016831836,24,7,9,0,4,331,24,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0
"toluene",3.42979725e-10,283.017560108,28,7,11,1,4,201,1,0,0,3,0,1,0,0,0,0,1,0,0,1,0,1,0
"toluene",0.0105414758,250.99134536,22,6,10,1,2,199,35,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
"toluene",3.55159025e-07,224.016831836,23,6,9,0,3,479,40,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0
"toluene",0.000252588319,327.966252808,26,6,14,2,2,153,13,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0
"toluene",7.82052205e-05,341.981902872,29,7,14,2,3,302,28,0,0,2,0,1,0,0,1,0,1,0,1,0,1,0,0
"apin",2.78436617e-06,267.059030996,31,8,9,1,2,414,40,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0
"toluene",3.35901582e-05,359.992467556,32,7,15,2,3,463,40,0,0,1,0,1,0,0,1,1,0,0,1,0,2,0,0
"apin",3.62709376e-09,269.038295552,29,7,10,1,3,399,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
"decane",0.00015449517,324.080494712,38,10,10,2,1,313,40,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0
"toluene",0.0311179483,253.006995424,24,6,10,1,3,82,10,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0
"toluene",1.7806833e-05,282.9811746,24,6,12,1,3,200,40,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0
"apin",8.08982527e-06,340.075409332,39,10,11,2,2,442,39,0,0,1,1,1,0,0,0,2,0,0,0,0,1,0,0
"toluene",0.000144811919,238.99134536,21,5,10,1,2,28,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
"apin",7.91454727e-08,295.053945616,33,9,10,1,3,793,40,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0
"apin",4.59735714e-08,299.048860236,33,8,11,1,3,878,40,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0
"toluene",4.20241239e-07,224.016831836,23,6,9,0,3,356,40,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"apin",0.0054746104799999,312.007723696,29,7,12,2,1,169,40,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0
"apin",0.00576954025,330.01828838,32,7,13,2,2,493,40,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0
"apin",0.0006149094479999,308.049194584,33,9,10,2,1,44,11,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
"toluene",1.14578975e-05,270.9811746,23,5,12,1,3,271,15,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0
"toluene",0.0617365782,156.005873228,15,6,5,0,1,8,5,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"toluene",0.0021755829,331.961167428,26,5,15,2,2,480,40,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
"decane",7.12961356e-05,310.101230156,39,10,9,2,1,209,40,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0
"toluene",1.3691016e-07,298.97608922,25,6,13,1,3,79,4,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0
"toluene",4.86039605e-10,284.996824664,26,6,12,1,5,367,8,0,0,2,0,0,1,0,1,0,1,0,0,0,1,1,0
"toluene",0.00345989381,327.966252808,26,6,14,2,2,198,40,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0
"toluene",4.413,295.976423568,24,6,12,2,2,146,9,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0
"apin",0.0001002088329999,261.08485182,33,10,7,1,1,77,40,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
"apin",0.000299258127,330.01828838,32,7,13,2,2,370,33,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0
"apin",1.97269742e-05,328.039023824,34,8,12,2,2,579,24,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0
"apin",0.000170109982,263.064116376,31,9,8,1,1,198,40,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0
"toluene",0.184006612,191.0066015,18,5,7,1,2,59,10,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0
"decane",1.26298707e-05,232.094688232,32,10,6,0,2,360,40,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0
"toluene",0.0008673205849999,234.001181772,22,7,9,0,1,180,18,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0
"decane",0.000263659145,233.053551692,27,8,7,1,1,127,40,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0
"toluene",2.74240153e-06,238.99134536,21,5,10,1,3,394,36,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0
"apin",0.000616881013,235.032816248,25,7,8,1,2,41,15,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0
"apin",3.19967192e-05,299.048860236,33,8,11,1,3,381,14,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0
"apin",7.81951872e-07,246.073952788,31,10,7,0,3,703,40,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0
"apin",0.00011327645,311.048860236,34,9,11,1,2,328,14,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
"apin",0.00104343022,308.049194584,33,9,10,2,1,53,31,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0
"apin",0.0311063993999999,195.037901628,22,5,7,1,2,70,17,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"toluene",0.0011001752199999,262.99134536,23,7,10,1,1,26,11,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0
"apin",0.0340760445,235.069201756,29,8,7,1,1,69,40,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
"apin",0.0056684143599999,184.109944372,29,10,3,0,1,15,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
