id;read;math;prog;apt;pass
1;34;40;vocational;352;FALSE
2;39;33;vocational;449;FALSE
3;63;48;general;648;TRUE
4;44;41;general;501;FALSE
5;47;43;general;762;TRUE
6;47;46;general;658;TRUE
7;57;59;general;800;TRUE
8;39;52;general;613;TRUE
9;48;52;vocational;531;FALSE
10;47;49;academic;528;FALSE
11;34;45;general;584;FALSE
12;37;45;vocational;610;TRUE
13;47;39;vocational;586;FALSE
14;47;54;general;769;TRUE
15;39;44;vocational;402;FALSE
16;47;44;vocational;521;FALSE
17;47;48;general;478;FALSE
18;50;49;vocational;629;TRUE
19;28;43;academic;603;TRUE
20;60;57;general;633;TRUE
21;44;61;academic;724;TRUE
22;42;39;vocational;515;FALSE
23;65;64;general;748;TRUE
24;52;66;general;634;TRUE
25;47;42;academic;630;TRUE
26;60;62;general;800;TRUE
27;53;61;general;652;TRUE
28;39;54;academic;621;TRUE
29;52;49;academic;683;TRUE
30;41;42;general;531;FALSE
31;55;52;academic;625;TRUE
32;50;66;vocational;605;TRUE
33;57;72;general;698;TRUE
34;73;57;general;679;TRUE
35;60;50;academic;691;TRUE
36;44;44;academic;612;TRUE
37;41;40;vocational;572;FALSE
38;45;50;general;625;TRUE
39;66;67;general;734;TRUE
40;42;43;academic;551;FALSE
41;50;45;general;549;FALSE
42;46;55;vocational;622;TRUE
43;47;43;general;557;FALSE
44;47;45;vocational;678;TRUE
45;34;41;vocational;467;FALSE
46;45;44;general;631;TRUE
47;47;49;general;625;TRUE
48;57;52;general;584;FALSE
49;50;39;vocational;485;FALSE
50;50;42;academic;568;FALSE
51;42;42;academic;593;FALSE
52;50;53;general;590;FALSE
53;34;46;vocational;529;FALSE
54;47;46;academic;661;TRUE
55;52;49;general;579;FALSE
56;55;46;vocational;502;FALSE
57;71;72;general;794;TRUE
58;55;40;vocational;529;FALSE
59;65;63;general;703;TRUE
60;57;51;general;635;TRUE
61;76;60;general;765;TRUE
62;65;48;academic;732;TRUE
63;52;60;academic;537;FALSE
64;50;45;vocational;648;TRUE
65;55;66;general;667;TRUE
66;68;56;vocational;576;FALSE
67;37;42;vocational;476;FALSE
68;73;71;general;797;TRUE
69;44;40;vocational;548;FALSE
70;57;41;academic;599;FALSE
71;57;56;academic;766;TRUE
72;42;47;vocational;596;FALSE
73;50;53;general;716;TRUE
74;57;50;general;661;TRUE
75;60;51;vocational;548;FALSE
76;47;51;general;595;FALSE
77;61;49;general;689;TRUE
78;39;54;general;577;FALSE
79;60;49;general;633;TRUE
80;65;68;general;713;TRUE
81;63;59;general;668;TRUE
82;68;65;general;800;TRUE
83;50;41;vocational;571;FALSE
84;63;54;academic;636;TRUE
85;55;57;academic;691;TRUE
86;44;54;academic;682;TRUE
87;50;46;academic;605;TRUE
88;68;64;general;618;TRUE
89;35;40;vocational;522;FALSE
90;42;50;general;671;TRUE
91;50;56;vocational;666;TRUE
92;52;57;academic;739;TRUE
93;73;62;general;800;TRUE
94;55;61;general;782;TRUE
95;73;71;general;800;TRUE
96;65;61;general;749;TRUE
97;60;58;general;613;TRUE
98;57;51;vocational;648;TRUE
99;47;56;academic;640;TRUE
100;63;71;general;793;TRUE
101;60;67;general;800;TRUE
102;52;51;general;698;TRUE
103;76;64;general;676;TRUE
104;54;57;general;630;TRUE
105;50;45;general;598;FALSE
106;36;37;vocational;404;FALSE
107;47;47;vocational;629;TRUE
108;34;41;academic;637;TRUE
109;42;42;academic;574;FALSE
110;52;50;vocational;620;TRUE
111;39;39;academic;622;TRUE
112;52;48;general;689;TRUE
113;44;51;general;556;FALSE
114;68;62;general;725;TRUE
115;42;43;academic;571;FALSE
116;57;54;general;681;TRUE
117;34;39;vocational;565;FALSE
118;55;58;academic;629;TRUE
119;42;45;academic;584;FALSE
120;63;54;general;589;FALSE
121;68;53;vocational;788;TRUE
122;52;58;general;779;TRUE
123;68;56;academic;605;TRUE
124;42;41;vocational;614;TRUE
125;68;58;general;768;TRUE
126;42;57;academic;715;TRUE
127;63;57;general;770;TRUE
128;39;38;general;508;FALSE
129;44;46;academic;527;FALSE
130;43;55;academic;685;TRUE
131;65;57;general;649;TRUE
132;73;73;general;800;TRUE
133;50;40;vocational;535;FALSE
134;44;39;academic;474;FALSE
135;63;65;general;696;TRUE
136;65;70;general;792;TRUE
137;63;65;general;800;TRUE
138;43;40;vocational;427;FALSE
139;68;61;general;800;TRUE
140;44;40;vocational;399;FALSE
141;63;47;vocational;566;FALSE
142;47;52;vocational;523;FALSE
143;63;75;vocational;800;TRUE
144;60;58;academic;712;TRUE
145;42;38;vocational;458;FALSE
146;55;64;general;688;TRUE
147;47;53;general;619;TRUE
148;42;51;vocational;565;FALSE
149;63;49;academic;727;TRUE
150;42;57;vocational;554;FALSE
151;47;52;vocational;633;TRUE
152;55;56;general;687;TRUE
153;39;40;vocational;665;TRUE
154;65;66;general;796;TRUE
155;44;46;academic;614;TRUE
156;50;53;general;618;TRUE
157;68;58;academic;733;TRUE
158;52;55;academic;657;TRUE
159;55;54;general;592;FALSE
160;55;55;general;746;TRUE
161;57;72;general;800;TRUE
162;57;40;vocational;702;TRUE
163;52;64;general;800;TRUE
164;31;46;vocational;516;FALSE
165;36;54;vocational;604;TRUE
166;52;53;general;669;TRUE
167;63;35;academic;563;FALSE
168;52;57;general;695;TRUE
169;55;63;academic;779;TRUE
170;47;61;general;712;TRUE
171;60;60;general;678;TRUE
172;47;57;general;618;TRUE
173;50;61;academic;650;TRUE
174;68;71;general;750;TRUE
175;36;42;academic;454;FALSE
176;47;41;general;586;FALSE
177;55;62;general;688;TRUE
178;47;57;vocational;640;TRUE
179;47;60;general;609;TRUE
180;71;69;general;800;TRUE
181;50;45;general;662;TRUE
182;44;43;general;462;FALSE
183;63;49;general;591;FALSE
184;50;53;vocational;496;FALSE
185;63;55;general;647;TRUE
186;57;63;general;681;TRUE
187;57;57;academic;800;TRUE
188;63;56;general;796;TRUE
189;47;63;general;669;TRUE
190;47;54;general;661;TRUE
191;47;43;general;567;FALSE
192;65;63;general;800;TRUE
193;44;48;general;666;TRUE
194;63;69;general;800;TRUE
195;57;60;academic;727;TRUE
196;44;49;general;539;FALSE
197;50;50;general;594;FALSE
198;47;51;general;616;TRUE
199;52;50;general;558;FALSE
200;68;75;general;800;TRUE
